* Measurement data measured by REW V5.30.2
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), L, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 11, 2024 5:48:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: measured 0.5 m away from mic; 
* Measurement: Fan 5
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
158.822708 44.311 74.5788
159.973602 44.541 39.2727
161.132843 43.383 29.5720
162.300476 41.592 49.0879
163.476578 40.996 43.9341
164.661194 42.059 -46.8473
165.854401 42.989 -47.5962
167.056244 42.572 -40.4213
168.266800 41.529 -24.3476
169.486130 42.127 -21.7562
170.714294 43.939 -33.4539
171.951355 44.942 -48.3850
173.197388 44.670 -58.8002
174.452454 43.623 -58.0639
175.716614 42.710 -61.8278
176.989929 42.184 -83.0739
178.272476 42.839 -4.5367
179.564316 44.338 -10.6563
180.865509 44.686 -18.4589
182.176132 43.268 -7.4468
183.496262 40.979 14.7055
184.825958 39.627 13.0541
186.165283 40.257 -118.6595
187.514313 41.483 -162.2258
188.873123 42.046 -146.2450
190.241776 42.460 -9.2249
191.620346 43.364 74.9167
193.008911 44.923 30.3435
194.407532 46.993 5.1608
195.816284 48.819 31.5927
197.235245 49.456 29.8388
198.664490 48.678 1.5106
200.104095 47.621 -18.9464
201.554138 47.065 -19.7487
203.014679 46.552 -22.9310
204.485809 46.264 -34.9184
205.967590 46.316 -44.6406
207.460114 45.786 -50.9254
208.963455 44.444 -51.4250
210.477692 43.388 -21.7192
212.002899 43.329 -0.4673
213.539154 44.238 0.2437
215.086548 45.441 -8.8564
216.645157 46.108 -48.8545
218.215057 46.157 -81.0726
219.796341 45.784 -90.2291
221.389069 44.798 -87.8813
222.993347 43.671 -94.5360
224.609253 42.724 -118.2524
226.236862 41.878 -113.4264
227.876266 41.736 -93.6212
229.527557 42.593 -58.7141
231.190811 44.102 -42.0015
232.866119 46.022 -19.0223
234.553558 47.943 91.6108
236.253235 49.028 8.9281
237.965225 49.139 -55.3245
239.689621 48.628 -29.2878
241.426514 47.975 -43.3739
243.175995 47.711 -74.6039
244.938141 47.714 -85.9662
246.713058 48.025 -85.8906
248.500839 48.819 -70.1849
250.301575 49.457 -27.5477
252.115356 49.302 -25.5073
253.942291 48.967 -64.6689
255.782455 49.001 -75.9878
257.635956 48.863 -71.7417
259.502899 48.626 -61.9428
261.383362 48.572 -44.1217
263.277466 48.535 -51.6544
265.185272 48.344 -95.6042
267.106903 47.817 -139.3566
269.042480 47.752 -132.7217
270.992065 48.475 -95.8619
272.955780 48.452 -99.5272
274.933716 47.662 -100.9545
276.925995 47.661 -75.0037
278.932709 49.006 -65.0164
280.953979 50.744 -80.5591
282.989899 51.510 -88.2787
285.040558 51.102 -106.5759
287.106079 50.600 -104.7115
289.186554 50.597 -94.0356
291.282104 50.914 -104.8381
293.392853 50.487 -119.4904
295.518890 49.105 -116.4202
297.660339 48.412 -113.0848
299.817322 49.404 -100.3954
301.989929 51.085 -86.0937
304.178284 52.425 -92.1861
306.382477 53.054 -105.8173
308.602661 53.044 -131.3408
310.838928 52.498 164.1202
313.091400 51.857 150.2902
315.360199 51.299 177.9712
317.645416 51.555 -124.0693
319.947205 52.391 -126.3239
322.265686 52.110 -137.4363
324.600952 50.495 -152.2201
326.953156 49.209 -158.1735
329.322388 50.014 -129.5645
331.708801 52.184 -132.8208
334.112488 54.385 -147.5061
336.533600 55.725 -129.1360
338.972260 55.555 -110.4729
341.428589 54.606 -104.7298
343.902710 53.973 -118.9431
346.394775 53.300 -123.4229
348.904907 53.077 -118.0231
351.433228 54.148 -134.0759
353.979858 55.855 -154.2703
356.544952 57.605 -167.7249
359.128632 58.954 -178.5366
361.731018 59.271 -178.8184
364.352264 58.507 171.3015
366.992523 57.789 163.7952
369.651917 57.739 -149.4291
372.330566 57.111 -95.6035
375.028625 55.330 -79.3295
377.746246 53.972 -79.8836
380.483551 54.709 -141.3796
383.240692 56.075 174.9307
386.017822 56.862 166.4858
388.815063 56.905 -167.4827
391.632568 56.370 -154.1130
394.470490 55.631 -141.4708
397.328979 54.967 -115.4203
400.208191 54.244 -115.1542
403.108276 53.268 -119.3040
406.029358 52.357 -121.6882
408.971619 52.030 -109.3557
411.935181 52.114 -97.3813
414.920227 52.383 -108.3422
417.926910 52.769 172.2762
420.955383 52.904 156.7268
424.005798 53.029 162.9366
427.078308 53.732 83.5654
430.173096 54.759 12.8672
433.290314 55.238 -72.9700
436.430115 55.286 -112.4825
439.592682 55.458 -134.3132
442.778137 55.468 -152.0785
445.986694 55.402 -143.9912
449.218506 56.053 -109.0135
452.473724 56.960 -111.3684
455.752533 57.100 -144.6620
459.055115 56.064 -151.2080
462.381622 54.826 -156.4648
465.732239 55.043 134.8921
469.107117 56.241 89.9043
472.506470 56.806 163.5566
475.930450 56.409 -169.1294
479.379242 55.355 175.9373
482.853027 54.138 -176.7452
486.351990 53.840 -165.4026
489.876282 54.974 163.2000
493.426117 56.514 175.1304
497.001678 57.534 -155.1235
500.603149 57.593 -147.4279
504.230713 56.905 -169.1642
507.884583 56.234 -169.0001
511.564911 56.507 -151.0079
515.271912 57.731 -145.2542
519.005798 58.582 -146.9731
522.766724 58.490 -164.4865
526.554932 58.050 -177.6383
530.370544 58.409 176.9077
534.213806 59.468 -171.8494
538.084961 60.079 -175.2283
541.984131 60.082 179.9413
545.911560 59.827 -169.5099
549.867432 59.122 -152.0981
553.851990 58.017 -148.8309
557.865417 57.336 -176.6202
561.907959 56.903 171.8290
565.979797 56.310 165.9185
570.081116 55.520 160.7972
574.212158 54.679 157.1057
578.373108 54.276 172.4714
582.564209 54.655 173.6294
586.785706 55.200 165.2188
591.037781 55.729 164.7548
595.320679 56.847 174.1997
599.634644 58.836 -151.3998
603.979858 60.718 -164.8879
608.356567 61.877 -179.2080
612.764954 62.351 165.9011
617.205322 62.466 157.0546
621.677856 62.383 148.2026
626.182800 61.815 143.4027
630.720398 60.885 147.3478
635.290833 59.986 138.2078
639.894409 59.107 136.0264
644.531372 58.361 132.6472
649.201904 57.997 118.3485
653.906311 57.681 124.6864
658.644775 57.019 152.8348
663.417603 56.574 149.1176
668.224976 56.859 123.2163
673.067200 57.168 116.3187
677.944519 57.124 140.0322
682.857178 57.456 170.0697
687.805420 58.427 165.7529
692.789551 59.494 158.2523
697.809814 59.962 158.0298
702.866455 59.825 146.5258
707.959717 59.433 131.2950
713.089905 58.735 126.2117
718.257263 57.832 115.5188
723.462036 56.847 106.5981
728.704529 56.114 109.4083
733.985046 56.165 126.2198
739.303833 56.747 130.0515
744.661133 57.099 118.4521
750.057251 56.884 98.6611
755.492493 56.348 104.1589
760.967102 56.143 118.4646
766.481384 56.530 119.5814
772.035645 57.467 148.3967
777.630127 58.539 163.3865
783.265137 59.111 141.1936
788.940979 58.928 123.2002
794.657959 58.215 118.9323
800.416382 57.528 123.4084
806.216553 56.959 121.2783
812.058716 56.190 106.4178
817.943237 55.783 93.2365
823.870361 56.162 100.3296
829.840454 57.206 112.4756
835.853821 58.564 -137.5491
841.910767 59.588 178.9065
848.011597 60.024 166.0017
854.156616 59.946 138.0824
860.346191 59.240 83.3112
866.580627 58.176 44.2527
872.860229 57.477 170.9523
879.185364 57.096 -171.5350
885.556274 56.487 178.3047
891.973389 56.044 175.3889
898.437012 56.175 -128.8698
904.947449 56.439 -165.8369
911.505066 56.575 157.0382
918.110229 56.777 146.4501
924.763245 56.968 146.7124
931.464478 57.051 179.2662
938.214233 57.152 -158.2072
945.012939 57.283 -171.5261
951.860901 57.827 -172.5298
958.758484 58.207 178.2460
965.706055 57.737 154.4325
972.703979 56.964 146.1938
979.752563 56.355 173.2791
986.852234 56.282 -163.2825
994.003357 56.905 -156.0210
1001.206299 57.262 -164.9567
1008.461426 57.266 175.5446
1015.769165 57.740 175.4039
1023.129822 58.240 167.7964
1030.543823 58.160 144.4349
1038.011597 57.351 141.6019
1045.533447 56.978 156.7456
1053.109863 58.033 166.1357
1060.741089 59.441 174.3352
1068.427612 60.019 177.2415
1076.169922 59.646 163.7729
1083.968262 58.929 151.8894
1091.823120 59.069 141.7222
1099.734863 59.759 153.6785
1107.703979 60.146 165.3523
1115.730835 60.369 165.9231
1123.815918 60.470 161.5549
1131.959595 60.076 158.9482
1140.162231 59.603 161.0851
1148.424316 59.682 162.5074
1156.746216 60.156 159.6667
1165.128418 60.361 156.0393
1173.571411 60.195 152.8113
1182.075562 59.946 139.8674
1190.641357 59.854 131.7894
1199.269287 59.764 138.5867
1207.959717 59.398 138.0360
1216.713135 59.112 137.5598
1225.529907 59.303 149.0541
1234.410645 59.700 152.1240
1243.355713 59.970 144.4136
1252.365601 60.313 134.4121
1261.440796 60.678 130.9218
1270.581665 60.810 130.9094
1279.788818 60.639 137.3408
1289.062744 60.006 132.5435
1298.403809 59.609 135.2542
1307.812622 59.863 132.3654
1317.289551 59.805 117.0028
1326.835205 59.052 109.7065
1336.449951 58.558 126.7854
1346.134399 59.256 148.8027
1355.889038 60.592 141.4664
1365.714355 61.176 127.4938
1375.610840 60.890 128.7229
1385.579102 60.233 145.5624
1395.619629 59.924 164.0415
1405.732910 60.656 157.8633
1415.919434 61.897 147.6978
1426.179810 62.875 138.7899
1436.514526 63.512 134.2046
1446.924072 63.510 137.5281
1457.409058 63.080 132.2382
1467.970093 62.702 138.2390
1478.607666 62.646 154.7308
1489.322266 63.116 148.0471
1500.114502 63.742 124.3386
1510.984985 63.615 114.9557
1521.934204 62.783 117.8373
1532.962769 62.329 104.3365
1544.071289 62.068 103.7352
1555.260254 61.390 118.7203
1566.530273 60.975 113.1796
1577.881958 61.492 107.8477
1589.315918 62.755 123.0068
1600.832764 63.293 120.9215
1612.433105 62.357 112.1422
1624.117432 60.926 122.2482
1635.886475 60.376 139.1920
1647.740723 60.085 134.8507
1659.680908 59.634 124.1555
1671.707642 59.956 125.8264
1683.821533 61.088 135.6494
1696.023193 61.849 128.9231
1708.313232 61.289 113.3153
1720.692383 60.426 126.1619
1733.161255 60.806 132.4156
1745.720459 61.540 108.1282
1758.370728 62.123 125.0050
1771.112549 62.552 153.0746
1783.946777 62.376 148.5795
1796.874023 61.952 143.6737
1809.894897 61.949 144.8163
1823.010132 61.937 141.1310
1836.220459 62.358 133.6630
1849.526489 63.317 133.5176
1862.928955 63.404 140.3903
1876.428467 62.340 147.0072
1890.025879 61.383 141.5958
1903.721802 60.893 134.4911
1917.516968 60.552 142.0905
1931.412109 60.541 140.3536
1945.407959 61.124 148.6097
1959.505127 62.938 146.6866
1973.704468 66.557 148.1208
1988.006714 70.369 105.7340
2002.412598 72.291 -12.9623
2016.922852 71.240 14.4169
2031.538330 67.956 77.2413
2046.259644 64.457 121.1447
2061.087646 62.421 115.6906
2076.023193 60.979 112.4728
2091.066895 60.200 160.9375
2106.219727 60.290 174.4308
2121.482178 60.568 -28.0189
