* Measurement data measured by REW V5.30.2
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), L, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 29, 2024 4:02:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: sweep taken 0.5m from microphone, fan was run in oven for roughly a week at ~90degC; 
* Measurement: Bad Fan 4 -- Post-Oven
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
128.817978 40.705 -21.5334
129.751450 43.700 -37.0782
130.691681 46.248 -39.5102
131.638733 46.975 -50.7809
132.592636 45.777 -69.7693
133.553452 43.740 -87.8837
134.521240 42.269 -94.9966
135.496033 40.695 -97.9576
136.477890 38.620 -72.3690
137.466858 37.782 -21.4413
138.462997 38.359 -26.1783
139.466354 39.635 -121.7902
140.476990 41.636 -131.6720
141.494949 43.119 -119.5567
142.520279 43.343 -113.3240
143.553040 43.214 49.6583
144.593277 43.273 58.0032
145.641052 42.698 60.6621
146.696426 40.803 59.1868
147.759445 37.839 81.9393
148.830170 35.068 54.1875
149.908661 34.418 167.2141
150.994965 35.731 -143.0471
152.089142 36.913 -132.0727
153.191238 37.702 -123.4106
154.301331 39.038 -130.3505
155.419464 40.883 -136.4241
156.545700 42.571 -84.5004
157.680099 43.825 -16.6886
158.822708 44.238 -12.6843
159.973602 44.497 12.2227
161.132843 45.389 130.3105
162.300476 46.018 132.9876
163.476578 46.099 -103.5715
164.661194 45.542 -99.1820
165.854401 44.137 -117.6487
167.056244 43.097 -163.7386
168.266800 42.933 -176.9586
169.486130 42.882 105.8486
170.714294 43.477 40.4528
171.951355 45.051 -76.9068
173.197388 47.167 -100.5379
174.452454 49.863 -152.9451
175.716614 52.274 -134.3845
176.989929 53.622 -120.9564
178.272476 54.019 -158.1064
179.564316 53.928 103.5110
180.865509 53.132 90.1437
182.176132 51.244 82.5981
183.496262 48.967 -168.7317
184.825958 48.310 -170.0244
186.165283 49.032 177.7073
187.514313 49.855 163.4532
188.873123 50.957 23.1184
190.241776 51.723 31.4709
191.620346 51.713 52.0151
193.008911 51.073 70.5222
194.407532 50.202 78.8534
195.816284 49.431 60.4529
197.235245 48.506 40.9480
198.664490 46.683 26.9571
200.104095 44.034 -47.3233
201.554138 41.233 -92.4372
203.014679 39.165 -114.6739
204.485809 38.962 -105.0841
205.967590 39.795 167.0669
207.460114 40.792 115.0830
208.963455 42.006 39.0580
210.477692 42.854 39.0414
212.002899 43.617 66.5011
213.539154 45.450 108.0859
215.086548 48.018 93.7290
216.645157 49.918 87.5296
218.215057 50.559 76.3796
219.796341 50.516 24.5239
221.389069 49.854 -14.9360
222.993347 48.789 -41.6935
224.609253 48.578 -75.0046
226.236862 48.934 -75.0204
227.876266 48.680 -45.0800
229.527557 47.908 -33.7323
231.190811 47.263 -43.2242
232.866119 46.980 -6.1024
234.553558 46.695 -9.7079
236.253235 45.676 2.1118
237.965225 43.734 45.2686
239.689621 42.443 59.6605
241.426514 44.099 111.2708
243.175995 46.786 140.9221
244.938141 48.819 82.6143
246.713058 49.788 31.2461
248.500839 49.328 40.1819
250.301575 48.130 75.0234
252.115356 47.526 98.3748
253.942291 46.874 91.2071
255.782455 45.509 87.6537
257.635956 45.008 91.2365
259.502899 45.905 80.6215
261.383362 46.642 79.2958
263.277466 46.880 97.6367
265.185272 46.633 -125.5184
267.106903 46.070 -109.6370
269.042480 45.581 -132.5209
270.992065 46.061 167.0285
272.955780 47.779 132.5933
274.933716 49.187 111.6661
276.925995 49.162 76.1819
278.932709 48.534 -6.0826
280.953979 49.247 -51.5210
282.989899 50.974 110.2617
285.040558 52.446 88.3999
287.106079 52.674 73.7646
289.186554 51.533 73.9566
291.282104 49.972 91.9766
293.392853 49.035 109.5886
295.518890 49.829 83.4409
297.660339 51.828 60.8880
299.817322 53.645 42.4453
301.989929 55.166 36.5214
304.178284 56.365 65.2171
306.382477 57.183 90.6218
308.602661 57.533 81.2452
310.838928 57.391 64.0640
313.091400 56.720 46.8092
315.360199 55.699 28.1284
317.645416 54.699 33.2659
319.947205 54.183 25.8629
322.265686 53.693 19.9416
324.600952 52.767 24.2246
326.953156 52.656 0.7037
329.322388 53.812 -55.6042
331.708801 54.894 -70.2616
334.112488 55.601 95.4372
336.533600 56.301 64.6030
338.972260 56.886 32.9402
341.428589 57.476 23.2619
343.902710 58.168 25.8080
346.394775 58.768 22.4718
348.904907 59.454 -24.2966
351.433228 59.869 -57.5419
353.979858 59.211 -69.7487
356.544952 57.423 -72.4543
359.128632 55.192 -74.5550
361.731018 53.131 -48.4525
364.352264 51.938 -50.4976
366.992523 51.858 -81.1282
369.651917 52.508 -89.4564
372.330566 52.836 -112.6257
375.028625 52.000 -176.1536
377.746246 50.340 85.9962
380.483551 48.894 76.4678
383.240692 47.721 82.6868
386.017822 46.246 71.9701
388.815063 45.493 77.8883
391.632568 46.116 106.0636
394.470490 47.225 90.7081
397.328979 48.462 -78.6202
400.208191 50.100 -85.2269
403.108276 51.865 121.4888
406.029358 53.115 113.5415
408.971619 53.750 114.9156
411.935181 53.811 122.9075
414.920227 53.374 108.6628
417.926910 53.193 86.7307
420.955383 53.793 88.6320
424.005798 54.681 88.0134
427.078308 55.175 73.8489
430.173096 55.121 125.0713
433.290314 55.044 127.4172
436.430115 54.758 68.9258
439.592682 54.214 32.1805
442.778137 53.832 14.0272
445.986694 53.515 4.4395
449.218506 53.265 2.9561
452.473724 52.594 7.7195
455.752533 51.289 12.0017
459.055115 50.508 104.4200
462.381622 50.857 126.3505
465.732239 51.871 85.0073
469.107117 52.479 70.6614
472.506470 51.815 63.0912
475.930450 50.523 61.1237
479.379242 50.474 56.7290
482.853027 51.259 52.7877
486.351990 51.664 51.4996
489.876282 51.447 44.3014
493.426117 51.526 48.0044
497.001678 52.562 48.5027
500.603149 53.468 38.4039
504.230713 53.853 17.6019
507.884583 54.247 -32.6576
511.564911 54.934 -33.4252
515.271912 55.848 34.4386
519.005798 56.677 101.5784
522.766724 57.308 53.9838
526.554932 57.903 89.7546
530.370544 58.278 101.8335
534.213806 58.151 90.1785
538.084961 57.793 78.2175
541.984131 57.603 64.9094
545.911560 56.919 71.4836
549.867432 55.512 86.4166
553.851990 54.065 87.7034
557.865417 53.076 83.6538
561.907959 53.208 71.1948
565.979797 54.281 48.3907
570.081116 55.180 28.4451
574.212158 55.549 17.3669
578.373108 55.985 7.1616
582.564209 57.367 5.1720
586.785706 59.417 73.9783
591.037781 61.290 81.6345
595.320679 62.858 51.3265
599.634644 63.669 -6.4441
603.979858 63.387 13.2501
608.356567 62.292 60.7397
612.764954 60.476 55.7483
617.205322 58.426 33.8141
621.677856 57.153 35.8619
626.182800 57.289 50.3688
630.720398 57.975 45.3396
635.290833 58.203 47.0475
639.894409 57.883 48.0088
644.531372 57.146 -7.2065
649.201904 57.035 -36.6208
653.906311 58.518 -37.6526
658.644775 60.304 152.7545
663.417603 61.087 95.2213
668.224976 61.131 94.1492
673.067200 61.305 -176.4061
677.944519 61.729 153.0918
682.857178 61.902 79.3140
687.805420 61.690 56.3801
692.789551 61.148 44.7769
697.809814 60.337 39.6233
702.866455 59.076 29.8563
707.959717 57.907 -135.5629
713.089905 57.358 -58.4526
718.257263 56.887 -30.0837
723.462036 56.557 -65.1541
728.704529 57.822 -70.4038
733.985046 59.729 -90.1699
739.303833 60.564 -138.8406
744.661133 60.180 -170.3856
750.057251 59.512 155.1823
755.492493 59.299 110.1844
760.967102 59.252 91.8652
766.481384 59.341 16.3473
772.035645 60.251 -94.8535
777.630127 62.117 -154.9807
783.265137 63.596 167.5234
788.940979 63.651 132.4741
794.657959 62.699 136.9624
800.416382 61.839 142.9961
806.216553 61.190 132.3613
812.058716 60.555 108.7126
817.943237 59.911 92.6685
823.870361 59.010 83.2122
829.840454 58.063 113.8679
835.853821 57.764 157.5808
841.910767 58.583 -135.4546
848.011597 59.832 -84.6094
854.156616 60.927 -101.1362
860.346191 61.209 -150.6790
866.580627 60.329 176.4526
872.860229 59.333 136.7837
879.185364 58.815 116.8037
885.556274 58.013 140.6904
891.973389 57.408 -163.9507
898.437012 57.398 -115.6475
904.947449 57.470 -96.2617
911.505066 57.481 -129.6299
918.110229 57.766 -134.9165
924.763245 57.970 -157.9556
931.464478 57.695 163.6963
938.214233 57.115 98.4797
945.012939 57.150 -1.2776
951.860901 57.673 -65.2715
958.758484 57.443 -104.6382
965.706055 56.903 -129.9492
972.703979 56.736 -113.4863
979.752563 56.360 -97.2202
986.852234 56.116 -115.4219
994.003357 56.423 -135.2607
1001.206299 56.540 -139.7051
1008.461426 56.361 -144.1802
1015.769165 56.363 -168.9390
1023.129822 56.420 151.1238
1030.543823 56.354 58.4043
1038.011597 56.173 -0.6223
1045.533447 55.064 -50.9478
1053.109863 53.522 -75.0710
1060.741089 53.481 -73.0435
1068.427612 54.478 -73.0303
1076.169922 55.162 -90.4360
1083.968262 55.808 -126.8523
1091.823120 56.696 -33.4241
1099.734863 57.220 69.2139
1107.703979 56.881 87.6458
1115.730835 55.744 110.2817
1123.815918 55.128 57.3911
1131.959595 55.855 12.7117
1140.162231 56.935 -18.5806
1148.424316 57.647 -46.4460
1156.746216 57.976 -37.9678
1165.128418 58.459 -4.4280
1173.571411 59.064 27.7644
1182.075562 59.354 16.0803
1190.641357 59.260 -10.5964
1199.269287 58.993 2.3647
1207.959717 58.651 22.1602
1216.713135 57.714 -10.9460
1225.529907 56.220 3.9512
1234.410645 55.618 48.9546
1243.355713 56.145 54.2087
1252.365601 56.489 41.7302
1261.440796 56.586 36.9155
1270.581665 57.055 28.7151
1279.788818 58.483 23.8892
1289.062744 60.185 44.1860
